"";"dates";"titles";"links"
"1";"11/12/2023";"Signature de la Convention financière État – Département de Mayotte";"/discours/signature-de-la-convention-financiere-etat-departement-de-mayotte"
"2";"30/11/2023";"Impact PME";"/discours/impact-pme"
"3";"27/11/2023";"Présentation de la Stratégie nationale biodiversité 2030";"/discours/presentation-de-la-strategie-nationale-biodiversite-2030"
"4";"23/11/2023";"Clôture du 105e Congrès des maires et présidents d'intercommunalités de France";"/discours/cloture-du-105e-congres-des-maires-et-presidents-dintercommunalites-de-france"
"5";"22/11/2023";"Signature des contrats de transition écologique  des 50 sites industriels les plus émetteurs de gaz à effet de serre";"/discours/signature-des-contrats-de-transition-ecologique-des-50-sites-industriels-les-plus-emetteurs-de-gaz-a-effet-de-serre"
"6";"21/11/2023";"Inauguration du bâtiment Simone Veil";"/discours/inauguration-du-batiment-simone-veil"
"7";"20/11/2023";"Introduction du Comité interministériel à l’enfance";"/discours/introduction-du-comite-interministeriel-a-lenfance"
"8";"16/11/2023";"Signature du contrat territorial pour le logement social";"/discours/signature-du-contrat-territorial-pour-le-logement-social"
"9";"14/11/2023";"Conférence de presse conjointe de la Première ministre  et du Premier ministre d’Irlande";"/discours/discours-de-mme-elisabeth-borne-premiere-ministre-conference-de-presse-conjointe-de-la-premiere-ministre-et-du-premier-ministre-dirlande"
"10";"14/11/2023";"Conférence « 225 ans d’aspiration à la République »";"/discours/discours-de-mme-elisabeth-borne-premiere-ministre-conference-225-ans-daspiration-a-la-republique"
"11";"10/11/2023";"Clôture des Assises nationales des départements de France";"/discours/cloture-des-assises-nationales-des-departements-de-france"
"12";"27/10/2023";"Conclusion du Comité interministériel des villes";"/discours/conclusion-du-comite-interministeriel-des-villes"
"13";"26/10/2023";"Pre´sentation aux maires des mesures du Gouvernement apre`s les e´meutes de l'e´te´ 2023";"/discours/presentation-aux-maires-des-mesures-du-gouvernement-apres-les-emeutes-de-lete-2023"
"14";"26/10/2023";"Cérémonie d'inauguration de l'école des drones de l'armée de Terre";"/discours/ceremonie-dinauguration-de-lecole-des-drones-de-larmee-de-terre"
"15";"23/10/2023";"Déclaration du Gouvernement sur la situation au Proche-Orient";"/discours/declaration-du-gouvernement-sur-la-situation-au-proche-orient"
"16";"16/10/2023";"Conclusion de la Conférence sociale";"/discours/discours-de-cloture-de-la-conference-sociale-par-elisabeth-borne-premiere-ministre"
"17";"11/10/2023";"Re´ponse de la Premie`re ministre aux questions d'actualite´ au Gouvernement sur les attaques terroristes ayant vise´ Israe¨l";"/discours/reponse-de-la-premiere-ministre-aux-questions-dactualite-au-gouvernement-sur-les-attaques-terroristes-ayant-vise-israel"
"18";"06/10/2023";"Inauguration du centre pénitentiaire de Caen-Ifs";"/discours/inauguration-du-centre-penitentiaire-de-caen-ifs"
"19";"28/09/2023";"Congrès des régions de France";"/discours/congres-des-regions-de-france"
"20";"27/09/2023";"Présentation du Plan interministériel de lutte contre le harcèlement à l’école";"/discours/presentation-du-plan-interministeriel-de-lutte-contre-le-harcelement-a-lecole"
"21";"21/09/2023";"Introduction du comité interministériel du handicap";"/discours/introduction-du-comite-interministeriel-du-handicap"
"22";"19/09/2023";"Présentation de la planification écologique aux membres du CNR";"/discours/presentation-de-la-planification-ecologique-aux-membres-du-conseil-national-de-la-refondation-cnr"
"23";"18/09/2023";"Réunion de présentation du Pacte des solidarités";"/discours/reunion-de-presentation-du-pacte-des-solidarites-aux-federations-et-associations-de-lutte-contre-la-pauvrete"
"24";"14/09/2023";"Clôture des journées parlementaires - groupes Renaissance et RDPI";"/discours/cloture-des-journees-parlementaires-des-groupes-renaissance-et-rdpi"
"25";"13/09/2023";"Allocution de rentrée à l’IHEDN";"/discours/allocution-de-rentree-a-linstitut-des-hautes-etudes-de-defense-nationale-ihedn"
"26";"08/09/2023";"Discours aux préfets";"/discours/discours-aux-prefets"
"27";"06/09/2023";"Rentrée du Conseil d’État";"/discours/rentree-du-conseil-detat"
"28";"06/09/2023";"Groupe de travail « Nickel » de Nouvelle-Calédonie";"/discours/accueil-des-delegations-politiques-et-des-membres-du-groupe-de-travail-nickel-de-nouvelle-caledonie"
"29";"30/08/2023";"Discours de clôture d'Élisabeth Borne à conférence des ambassadrices et ambassadeurs";"/discours/discours-de-cloture-delisabeth-borne-a-conference-des-ambassadrices-et-ambassadeurs"
"30";"19/06/2023";"Conclusion des Assises des finances publiques";"/discours/conclusion-des-assises-des-finances-publiques"
"31";"16/06/2023";"Présentation du plan France ruralités";"/discours/presentation-du-plan-france-ruralites"
"32";"01/06/2023";"CNR sur le service public de la petite enfance";"/discours/conclusion-du-conseil-national-de-la-refondation-sur-le-service-public-de-la-petite-enfance"
"33";"17/05/2023";"Rencontres des cadres dirigeants de l'État";"/discours/rencontres-des-cadres-dirigeants-de-letat"
"34";"09/05/2023";"7e Comité interministériel de la transformation publique";"/discours/7e-comite-interministeriel-de-la-transformation-publique"
"35";"26/04/2023";"Présentation de la feuille de route gouvernementale";"/discours/presentation-de-la-feuille-de-route-gouvernementale-et-de-lagenda-legislatif"
"36";"13/03/2023";"Cérémonie d’hommage à Mme Françoise Rudetzki";"/discours/ceremonie-dhommage-a-mme-francoise-rudetzki"
